,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,52523515904.0,229180.09375,199460.546875,66305314816.0,257498.1875,226754.9375
1,51746930688.0,227479.515625,197818.9375,62939615232.0,250877.703125,219665.015625
2,48854179840.0,221029.8125,191695.3125,52369686528.0,228844.234375,196782.9375
3,42744844288.0,206748.265625,178286.78125,47106195456.0,217039.625,184559.46875
4,33395894272.0,182745.4375,154897.84375,34831732736.0,186632.609375,152844.09375
5,21823062016.0,147726.3125,120340.21875,32823113728.0,181171.5,150031.03125
6,11324322816.0,106415.8046875,80530.1328125,34129037312.0,184740.453125,163703.71875
7,7687050240.0,87675.828125,65779.4921875,37682966528.0,194121.015625,172866.1875
8,6816086528.0,82559.59375,61838.37109375,11327994880.0,106433.0546875,89073.921875
9,5709948928.0,75564.203125,55680.3515625,74550386688.0,273039.15625,253094.984375
10,5646976000.0,75146.359375,55288.9296875,97189052416.0,311751.59375,291378.5625
11,5622454272.0,74983.0234375,54944.87890625,29038413824.0,170406.609375,151995.625
12,5147912192.0,71748.953125,52568.125,60539265024.0,246047.28125,227391.546875
13,5316381696.0,72913.5234375,53093.97265625,66983276544.0,258811.28125,240241.375
14,5157731328.0,71817.34375,52714.3671875,38833737728.0,197062.78125,179675.484375
15,5833463808.0,76377.1171875,56136.00390625,12268290048.0,110762.3125,94617.359375
16,5654342144.0,75195.359375,55438.69921875,7366596096.0,85828.875,70635.3828125
17,5334853120.0,73040.078125,53389.37890625,7632190976.0,87362.4140625,66179.5625
18,5297637888.0,72784.875,52689.9921875,12501044224.0,111808.0625,87164.265625
19,5554500608.0,74528.5234375,53743.60546875,7432425984.0,86211.515625,67134.7734375
20,4821820416.0,69439.328125,50475.11328125,25747347456.0,160459.796875,130708.2890625
21,4593766912.0,67777.3359375,49173.65625,8795880448.0,93786.3515625,73612.3515625
22,4776014848.0,69108.71875,49943.12890625,42493308928.0,206139.046875,183673.15625
23,4764598272.0,69026.0703125,49898.31640625,6838424576.0,82694.765625,63270.9375
24,4756627968.0,68968.3125,50350.02734375,6152296448.0,78436.5703125,61716.41796875
25,4797071872.0,69260.8984375,49830.49609375,18809165824.0,137146.515625,120358.3359375
26,4571312640.0,67611.484375,48584.453125,6522941440.0,80764.7265625,61863.22265625
27,4657922048.0,68248.96875,49321.03515625,49951936512.0,223499.296875,201369.53125
28,5408562688.0,73542.9296875,53526.88671875,12038179840.0,109718.640625,84597.4140625
29,4772263936.0,69081.578125,50066.6328125,7624369664.0,87317.6328125,65448.33984375
